wavelength_m,real_chi_or_n,imag_chi_or_n
1.000178068870051206e-07,1.000450521691378380e+00,1.627456575554922351e-04
1.009855901562597482e-07,1.000436708186292822e+00,1.677787789980030313e-04
1.019533734255143625e-07,1.000424763793585914e+00,1.728771860270807755e-04
1.029211566947689901e-07,1.000413721067658024e+00,1.780423533561237672e-04
1.038889399640236177e-07,1.000408772430339877e+00,1.832758228117744941e-04
1.048567232332782453e-07,1.000397031668458281e+00,1.885723250915943199e-04
1.058245065025328596e-07,1.000390271620832383e+00,1.939379999433144398e-04
1.067922897717874872e-07,1.000392713752395357e+00,1.993669869423287538e-04
1.077600730410421148e-07,1.000384619379907747e+00,2.048652615087655812e-04
1.087278563102967424e-07,1.000379329289413866e+00,2.104262953685125744e-04
1.096956395795513567e-07,1.000370459185238481e+00,2.160571282208709816e-04
1.106634228488059843e-07,1.000340809887095617e+00,2.715741252288454265e-04
1.116312061180606119e-07,1.000399113793941863e+00,2.828026611037374755e-04
1.125989893873152395e-07,1.000434382665175370e+00,2.734922042181189947e-04
1.135667726565698538e-07,1.000488254046490555e+00,2.469957433683692637e-04
1.145345559258244814e-07,1.000462419741794173e+00,1.770068981053399130e-04
1.155023391950791090e-07,1.000402660348812978e+00,1.137147919610002406e-04
1.164701224643337233e-07,1.000298510122329843e+00,1.581903409321582389e-04
1.174379057335883509e-07,1.000304739230639672e+00,1.847941024964289125e-04
1.184056890028429785e-07,1.000225539422441745e+00,2.131104247796117919e-04
1.193734722720975928e-07,1.000139999906593413e+00,3.237472663547592551e-04
1.203412555413522336e-07,1.000149727987752479e+00,5.044554945049649786e-04
1.213090388106068480e-07,1.000305088242888552e+00,7.038353400801565128e-04
1.222768220798614623e-07,1.000587477283530813e+00,6.684453058761571269e-04
1.232446053491161032e-07,1.000841945480686723e+00,5.046261268682961315e-04
1.242123886183707175e-07,1.000786049743707551e+00,2.318024177219969945e-04
1.251801718876253583e-07,1.000672184405979159e+00,1.542031742215246317e-04
1.261479551568799727e-07,1.000590673345861159e+00,1.270099896558684618e-04
1.271157384261345870e-07,1.000523746803010372e+00,1.189891224886896373e-04
1.280835216953892278e-07,1.000458273114939400e+00,1.249661600536560206e-04
1.290513049646438422e-07,1.000404462061472266e+00,1.515798249633696639e-04
1.300190882338984830e-07,1.000335344904323964e+00,2.496612282620176660e-04
1.309868715031530973e-07,1.000436827133307727e+00,3.341383098702849132e-04
1.319546547724077117e-07,1.000478799413442310e+00,3.530141115274393207e-04
1.329224380416623260e-07,1.000481301240611076e+00,3.872080954399646844e-04
